sample_id,species,location,source
RRAP-ECO3-2021-Ahya-MOOR-423_L4,Acropora tersa,Moore,doi.org/10.1038/s43247-024-01649-76
RRAP-ECO3-2021-Ahya-MOOR-428_L3,Acropora tersa,Moore,doi.org/10.1038/s43247-024-01649-77
RRAP-ECO3-2021-Ahya-MOOR-432_L4,Acropora tersa,Moore,doi.org/10.1038/s43247-024-01649-78
RRAP-ECO3-2021-Ahya-MOOR-434_L3,Acropora tersa,Moore,doi.org/10.1038/s43247-024-01649-79
RRAP-ECO3-2021-Ahya-MOOR-435_L3,Acropora tersa,Moore,doi.org/10.1038/s43247-024-01649-80
RRAP-ECO3-2021-Ahya-OCCH-117_L4,Acropora pectinata,Chicken,doi.org/10.1038/s43247-024-01649-15
RRAP-ECO3-2021-Ahya-OCCH-141_L4,Acropora pectinata,Chicken,doi.org/10.1038/s43247-024-01649-16
RRAP-ECO3-2021-Ahya-OCCH-154_L4,Acropora pectinata,Chicken,doi.org/10.1038/s43247-024-01649-17
RRAP-ECO3-2021-Ahya-OCLB-101_L4,Acropora sp. 'VI-3',Little Broadhurst,doi.org/10.1038/s43247-024-01649-32
RRAP-ECO3-2021-Ahya-OCLB-103_L4,Acropora sp. 'VI-3',Little Broadhurst,doi.org/10.1038/s43247-024-01649-33
RRAP-ECO3-2021-Ahya-OCLB-112_L4,Acropora sp. 'VI-3',Little Broadhurst,doi.org/10.1038/s43247-024-01649-34
RRAP-ECO3-2021-Ahya-OCLB-158_L4,Acropora sp. 'VI-3',Little Broadhurst,doi.org/10.1038/s43247-024-01649-35
RRAP-ECO3-2021-Ahya-OCLB-160_L4,Acropora sp. 'VI-3',Little Broadhurst,doi.org/10.1038/s43247-024-01649-36
RRAP-ECO3-2021-Ahya-OCLB-163_L4,Acropora sp. 'VI-3',Little Broadhurst,doi.org/10.1038/s43247-024-01649-37
RRAP-ECO3-2021-Ahya-OCLB-164_L4,Acropora sp. 'VI-3',Little Broadhurst,doi.org/10.1038/s43247-024-01649-38
RRAP-ECO3-2021-Ahya-OCLB-166_L4,Acropora sp. 'VI-3',Little Broadhurst,doi.org/10.1038/s43247-024-01649-39
RRAP-ECO3-2021-Ahya-OCLB-90_L4,Acropora sp. 'VI-3',Little Broadhurst,doi.org/10.1038/s43247-024-01649-40
RRAP-ECO3-2021-Ahya-OCLB-95_L4,Acropora sp. 'VI-3',Little Broadhurst,doi.org/10.1038/s43247-024-01649-41
RRAP-ECO3-2021-Ahya-OCLB-97_L4,Acropora sp. 'VI-3',Little Broadhurst,doi.org/10.1038/s43247-024-01649-42
RRAP-ECO3-2021-Ahya-OCLB-98_L4,Acropora sp. 'VI-3',Little Broadhurst,doi.org/10.1038/s43247-024-01649-43
RRAP-ECO3-2022-Ahya-BLCH12A_L2,Acropora sp. 'VI-3',Davies,doi.org/10.1038/s43247-024-01649-24
RRAP-ECO3-2022-Ahya-BLCH14A_L2,Acropora sp. 'VI-3',Davies,doi.org/10.1038/s43247-024-01649-25
RRAP-ECO3-2022-Ahya-BLCH17A_L2,Acropora sp. 'VI-3',Davies,doi.org/10.1038/s43247-024-01649-26
RRAP-ECO3-2022-Ahya-BLCH197A_L2,Acropora hyacinthus,Pelorus,doi.org/10.1038/s43247-024-01649-6
RRAP-ECO3-2022-Ahya-BLCH198A_L2,Acropora hyacinthus,Pelorus,doi.org/10.1038/s43247-024-01649-7
RRAP-ECO3-2022-Ahya-BLCH202A_L2,Acropora hyacinthus,Pelorus,doi.org/10.1038/s43247-024-01649-8
RRAP-ECO3-2022-Ahya-BLCH205A_L2,Acropora hyacinthus,Pelorus,doi.org/10.1038/s43247-024-01649-9
RRAP-ECO3-2022-Ahya-BLCH208A_L2,Acropora hyacinthus,Pelorus,doi.org/10.1038/s43247-024-01649-10
RRAP-ECO3-2022-Ahya-BLCH212A_L2,Acropora hyacinthus,Orpheus ,doi.org/10.1038/s43247-024-01649-18
RRAP-ECO3-2022-Ahya-BLCH216A_L2,Acropora hyacinthus,Orpheus ,doi.org/10.1038/s43247-024-01649-19
RRAP-ECO3-2022-Ahya-BLCH219A_L2,Acropora hyacinthus,Orpheus ,doi.org/10.1038/s43247-024-01649-20
RRAP-ECO3-2022-Ahya-BLCH225A_L2,Acropora hyacinthus,Orpheus ,doi.org/10.1038/s43247-024-01649-21
RRAP-ECT01-2021-Ahya-B14_L3,Acropora tersa,North Direction,doi.org/10.1038/s43247-024-01649-52
RRAP-ECT01-2021-Ahya-B23_L3,Acropora tersa,North Direction,doi.org/10.1038/s43247-024-01649-53
RRAP-ECT01-2021-Ahya-B26_L3,Acropora tersa,North Direction,doi.org/10.1038/s43247-024-01649-54
RRAP-ECT01-2021-Ahya-B44_L3,Acropora tersa,North Direction,doi.org/10.1038/s43247-024-01649-55
RRAP-ECT01-2021-Ahya-B48_L3,Acropora tersa,North Direction,doi.org/10.1038/s43247-024-01649-56
RRAP-ECT01-2021-Ahya-B6_L3,Acropora tersa,North Direction,doi.org/10.1038/s43247-024-01649-57
RRAP-ECT01-2021-Ahya-FITZ-362_L2,Acropora tersa,Fitzroy Is,doi.org/10.1038/s43247-024-01649-92
RRAP-ECT01-2021-Ahya-FITZ-365_L3,Acropora tersa,Fitzroy Is,doi.org/10.1038/s43247-024-01649-93
RRAP-ECT01-2021-Ahya-FITZ-367_L2,Acropora tersa,Fitzroy Is,doi.org/10.1038/s43247-024-01649-94
RRAP-ECT01-2021-Ahya-FITZ-368_L2,Acropora tersa,Fitzroy Is,doi.org/10.1038/s43247-024-01649-95
RRAP-ECT01-2021-Ahya-FITZ-370_L4,Acropora tersa,Fitzroy Is,doi.org/10.1038/s43247-024-01649-96
RRAP-ECT01-2021-Ahya-FITZ-373_L2,Acropora tersa,Fitzroy Is,doi.org/10.1038/s43247-024-01649-97
RRAP-ECT01-2021-Ahya-HICK-2_L4,Acropora tersa,Hicks,doi.org/10.1038/s43247-024-01649-44
RRAP-ECT01-2021-Ahya-HICK-23_L2,Acropora tersa,Hicks,doi.org/10.1038/s43247-024-01649-45
RRAP-ECT01-2021-Ahya-HICK-25_L2,Acropora tersa,Hicks,doi.org/10.1038/s43247-024-01649-46
RRAP-ECT01-2021-Ahya-HICK-26_L4,Acropora tersa,Hicks,doi.org/10.1038/s43247-024-01649-47
RRAP-ECT01-2021-Ahya-HICK-28_L3,Acropora tersa,Hicks,doi.org/10.1038/s43247-024-01649-48
RRAP-ECT01-2021-Ahya-HICK-29_L4,Acropora tersa,Hicks,doi.org/10.1038/s43247-024-01649-49
RRAP-ECT01-2021-Ahya-HICK-39b_L3,Acropora tersa,Hicks,doi.org/10.1038/s43247-024-01649-50
RRAP-ECT01-2021-Ahya-HICK-6_L2,Acropora tersa,Hicks,doi.org/10.1038/s43247-024-01649-51
RRAP-ECT01-2021-Ahya-KELS-197_L3,Acropora tersa,Kelso,doi.org/10.1038/s43247-024-01649-98
RRAP-ECT01-2021-Ahya-KELS-200_L4,Acropora tersa,Kelso,doi.org/10.1038/s43247-024-01649-99
RRAP-ECT01-2021-Ahya-KELS-205_L4,Acropora tersa,Kelso,doi.org/10.1038/s43247-024-01649-100
RRAP-ECT01-2021-Ahya-KELS-207-B_L4,Acropora tersa,Kelso,doi.org/10.1038/s43247-024-01649-101
RRAP-ECT01-2021-Ahya-KELS-208_L4,Acropora tersa,Kelso,doi.org/10.1038/s43247-024-01649-102
RRAP-ECT01-2021-Ahya-KELS-215_L3,Acropora tersa,Kelso,doi.org/10.1038/s43247-024-01649-103
RRAP-ECT01-2021-Ahya-MACK-276_L2,Acropora tersa,Mackay Reef,doi.org/10.1038/s43247-024-01649-68
RRAP-ECT01-2021-Ahya-MACK-278_L2,Acropora tersa,Mackay Reef,doi.org/10.1038/s43247-024-01649-69
RRAP-ECT01-2021-Ahya-MACK-286_L2,Acropora tersa,Mackay Reef,doi.org/10.1038/s43247-024-01649-70
RRAP-ECT01-2021-Ahya-MACK-295_L2,Acropora tersa,Mackay Reef,doi.org/10.1038/s43247-024-01649-71
RRAP-ECT01-2021-Ahya-MART-131_L4,Acropora tersa,Mackay Reef,doi.org/10.1038/s43247-024-01649-72
RRAP-ECT01-2021-Ahya-MART-137_L4,Acropora tersa,Martin,doi.org/10.1038/s43247-024-01649-64
RRAP-ECT01-2021-Ahya-MART-151_L2,Acropora tersa,Martin,doi.org/10.1038/s43247-024-01649-65
RRAP-ECT01-2021-Ahya-MART-159_L2,Acropora tersa,Martin,doi.org/10.1038/s43247-024-01649-66
RRAP-ECT01-2021-Ahya-MART-160_L2,Acropora tersa,Martin,doi.org/10.1038/s43247-024-01649-67
RRAP-ECT01-2021-Ahya-MOOR-376_L2,Acropora tersa,Moore,doi.org/10.1038/s43247-024-01649-81
RRAP-ECT01-2021-Ahya-MOOR-388-B_L4,Acropora tersa,Moore,doi.org/10.1038/s43247-024-01649-82
RRAP-ECT01-2021-Ahya-MOOR-392_L3,Acropora tersa,Moore,doi.org/10.1038/s43247-024-01649-83
RRAP-ECT01-2021-Ahya-MOOR-413_L2,Acropora tersa,Moore,doi.org/10.1038/s43247-024-01649-84
RRAP-ECT01-2021-Ahya-MOOR-414_L2,Acropora tersa,Moore,doi.org/10.1038/s43247-024-01649-85
RRAP-ECT01-2021-Ahya-MOOR-420_L2,Acropora tersa,Moore,doi.org/10.1038/s43247-024-01649-86
RRAP-ECT01-2021-Ahya-MOOR-422_L2,Acropora tersa,Moore,doi.org/10.1038/s43247-024-01649-87
RRAP-ECT01-2021-Ahya-NDIR-47_L3,Acropora pectinata,North Direction,doi.org/10.1038/s43247-024-01649-11
RRAP-ECT01-2021-Ahya-NDIR-48_L3,Acropora pectinata,North Direction,doi.org/10.1038/s43247-024-01649-12
RRAP-ECT01-2021-Ahya-NDIR-49,Acropora tersa,North Direction,doi.org/10.1038/s43247-024-01649-58
RRAP-ECT01-2021-Ahya-NDIR-50,Acropora pectinata,North Direction,doi.org/10.1038/s43247-024-01649-13
